Second,Luminance,base line
0,166.9924183,base line
1,166.9920437,base line
2,166.9917756,base line
3,166.9919572,base line
4,166.9919409,base line
5,166.991991,base line
6,166.992189,base line
7,166.9920076,base line
8,166.9917778,base line
9,166.9918179,base line
10,166.9915957,base line
11,166.9917349,base line
12,166.9914308,base line
13,166.9918761,base line
14,166.9916726,base line
15,166.9918471,base line
16,166.9915143,base line
17,166.9918457,base line
18,166.9916326,base line
19,166.9916271,base line
20,166.991568,base line
21,166.9914877,base line
22,166.9915674,base line
23,166.9916664,base line
24,166.9914672,base line
25,166.9918081,base line
26,166.9920847,base line
27,166.9917115,base line
28,166.9916285,base line
29,166.9906987,base line
30,166.9914881,base line
31,166.9916942,base line
32,166.9913056,base line
33,166.9915064,base line
34,166.9918449,base line
35,166.9917402,base line
36,166.9917343,base line
37,166.9915815,base line
38,166.9917075,base line
39,166.9917649,base line
40,166.9918666,base line
41,166.9915326,base line
42,166.9920904,base line
43,166.9920792,base line
44,166.9920665,base line
45,166.9920359,base line
46,166.9922015,base line
47,166.9920768,base line
48,166.9919491,base line
49,166.9917906,base line
50,166.9921308,base line
51,166.9921112,base line
52,166.9922165,base line
53,166.9916797,base line
54,166.9924129,base line
55,166.9926049,base line
56,166.992351,base line
57,166.9920095,base line
58,166.9909082,base line
59,166.9910307,base line
60,166.9918713,base line
61,166.9916181,base line
62,166.9913708,base line
63,166.9916905,base line
64,166.9917674,base line
65,166.9917575,base line
66,166.991481,base line
67,166.9914515,base line
68,166.9918853,base line
69,166.9918932,base line
70,166.9916883,base line
71,166.9921332,base line
72,166.9920747,base line
73,166.9919634,base line
74,166.9920782,base line
75,166.9920385,base line
76,166.9921115,base line
77,166.9923122,base line
78,166.9922436,base line
79,166.9926556,base line
80,166.9928091,base line
81,166.9925888,base line
82,166.9920559,base line
83,166.9925694,base line
84,166.9920587,base line
85,166.9925002,base line
86,166.9920512,base line
87,166.9905297,base line
88,166.991604,base line
89,166.9912034,base line
90,166.9914469,base line
91,166.9912833,base line
92,166.9912082,base line
93,166.9907224,base line
94,166.991897,base line
95,166.9913436,base line
96,166.9917782,base line
97,166.9920913,base line
98,166.991798,base line
99,166.9913962,base line
100,166.9918803,base line
101,166.9923587,base line
102,166.9915094,base line
103,166.9918546,base line
104,166.9916325,base line
105,166.9912152,base line
106,166.9913422,base line
107,166.9918247,base line
108,166.9917079,base line
109,167.6267,
110,167.7071475,
111,167.8024125,
112,167.8850551,
113,167.8430341,
114,168.0165282,
115,168.0196353,
116,168.0308758,
117,168.0023916,
118,168.1005714,
119,168.0270065,
120,168.0320864,
121,167.9285012,
122,168.0449305,
123,167.9682634,
124,167.812406,
125,167.7839386,
126,167.8492784,
127,167.6930658,
128,167.6837639,
129,167.6615332,
130,167.7009916,
131,167.7953845,
132,168.0326504,
133,168.2231295,
134,168.390611,
135,168.3910136,
136,168.3912058,
137,168.3618612,
138,168.3435327,
139,168.4823923,
140,168.4823923,
141,168.503608,
142,168.4512377,
143,168.6506292,
144,168.6999553,
145,168.6910224,
146,168.5761348,
147,168.7373336,
148,168.7183841,
149,168.5230709,
150,168.4866706,
151,168.5303006,
152,168.3950159,
153,168.2546734,
154,168.1506538,
155,168.169004,
156,168.134541,
157,167.996948,
158,168.0522846,
159,168.2690252,
160,168.2690252,
161,168.2911725,
162,168.326069,
163,168.4934503,
164,168.6381144,
165,168.6381144,
166,168.5975282,
167,168.5584537,
168,168.6966085,
169,168.7313856,
170,168.7313856,
171,168.6758688,
172,168.7252281,
173,168.6338049,
174,168.5663955,
175,168.5322431,
176,168.6483129,
177,168.5915794,
178,168.4015169,
179,168.1678126,
180,168.2331762,
181,168.1778944,
182,168.0167388,
183,167.9250526,
184,167.9931585,
185,168.0026734,
186,167.9463621,
187,167.8337733,
188,167.8764188,
189,167.777397,
190,167.7809579,
191,167.7065182,
192,167.7583881,
193,167.7067013,
194,167.6667908,
195,167.6309401,
196,167.2108542,
197,167.2637964,
198,167.3431587,
199,167.4899084,
200,167.4765468,
201,167.6570357,
202,167.8088409,
203,167.880678,
204,167.8381745,
205,167.8991086,
206,167.9119268,
207,167.6984537,
208,167.4602337,
209,167.3295583,
210,167.3297746,
211,167.2889272,
212,167.2526406,
213,167.2691101,
214,167.2397644,
215,167.2447531,
216,167.2896088,
217,167.5206318,
218,167.6082007,
219,167.6450358,
220,167.6179982,
221,167.7574168,
222,167.7233561,
223,167.7541139,
224,167.6585152,
225,167.6179115,
226,167.7054977,
227,167.8710753,
228,168.0557425,
229,168.2063315,
230,168.3425855,
231,168.4240617,
232,168.4580008,
233,168.3355386,
234,168.2791835,
235,168.2727564,
236,168.2164375,
237,168.0459123,
238,168.0975953,
239,168.0914824,
240,168.0892683,
241,168.0966131,
242,168.3539494,
243,168.4906145,
244,168.5894859,
245,168.5413766,
246,168.6411006,
247,168.5899401,
248,168.4751438,
249,168.3113597,
250,168.3410571,
251,168.326533,
252,168.2044434,
253,168.0574548,
254,167.9074206,
255,167.9393283,
256,167.9612469,
257,167.9418768,
258,167.9205754,
259,168.015615,
260,168.0118489,
261,168.0036894,
262,167.9395088,
263,167.8648557,
264,167.7549112,
265,167.7495165,
266,167.6224273,
267,167.5020956,
268,167.2751849,
269,167.1118544,
270,167.1055611,
271,167.0845896,
272,166.9843746,
273,166.9811983,
274,166.9821369,
275,167.0324573,
276,167.0708738,
277,167.0608397,
278,167.0298091,
279,167.1221487,
280,167.131621,
281,167.1314714,
282,167.0338424,
283,166.9076559,
284,167.0251801,
285,167.0304298,
286,167.0427849,
287,167.0877903,
288,167.2919102,
289,167.3650654,
290,167.3582365,
291,167.3172577,
292,167.3684973,
293,167.2582564,
294,167.2059533,
295,167.1964364,
296,167.3145973,
297,167.2881679,
298,167.248776,
299,167.2074317,
300,167.2990124,
301,167.3586364,
302,167.5426059,
303,167.5924624,
304,167.725128,
305,167.7203769,
306,167.7628618,
307,167.7467599,
308,167.8683915,
309,167.8810005,
310,167.8773076,
311,167.7988506,
312,167.584841,
313,167.6575376,
314,167.6276546,
315,167.6245027,
316,167.6079143,
317,167.6641777,
318,167.6349765,
319,167.6623035,
320,167.6500237,
321,167.7321402,
322,167.6451881,
323,167.5611007,
324,167.3663929,
325,167.3937186,
326,167.3470021,
327,167.2540314,
328,167.2045013,
329,167.3427289,
330,167.3439359,
331,167.3879882,
332,167.3611836,
333,167.4423442,
334,167.5928141,
335,167.5971491,
336,167.6141369,
337,167.7058582,
338,167.7250488,
339,167.6844746,
340,167.6643765,
341,167.5072249,
342,167.5640464,
343,167.4839236,
344,167.466521,
345,167.4672936,
346,167.486585,
347,167.400205,
348,167.4146767,
349,167.4699537,
350,167.4906564,
351,167.5404058,
352,167.5437222,
353,167.4191001,
354,167.3744002,
355,167.3744002,
356,167.3613582,
357,167.2674484,
358,167.2500223,
359,167.3302739,
360,167.3302739,
361,167.3342475,
362,167.4187289,
363,167.555266,
364,167.6840306,
365,167.6745096,
366,167.8282057,
367,167.900315,
368,167.9307945,
369,167.8666975,
370,167.7746655,
371,167.7997291,
372,167.7294464,
373,167.6500364,
374,167.4766104,
375,167.4966821,
376,167.4268404,
377,167.2579922,
378,167.0633573,
379,167.0739449,
380,167.0739449,
381,167.0795974,
382,167.0219287,
383,166.970522,
384,166.9259085,
385,166.9259085,
386,166.8921564,
387,167.0701312,
388,167.2495564,
389,167.3219043,
390,167.3037089,
391,167.3753543,
392,167.4578949,
393,167.6286291,
394,167.7653009,
395,167.8389152,
396,167.9271552,
397,168.0201798,
398,167.9710178,
399,167.797606,
400,167.804289,
401,167.8362821,
402,167.885357,
403,167.8980243,
404,167.9604831,
405,167.9604831,
406,167.9958323,
407,168.0392273,
408,168.145996,
409,168.0325176,
410,168.031965,
411,167.9490739,
412,167.9080941,
413,167.7905253,
414,167.6824688,
415,167.6596182,
416,167.6876333,
417,167.70292,
418,167.663455,
419,167.5399083,
420,167.5665438,
421,167.5802872,
422,167.5452374,
423,167.4072197,
424,167.5285406,
425,167.5352047,
426,167.5798918,
427,167.5672211,
428,167.5469624,
429,167.6109705,
430,167.6034227,
431,167.6137698,
432,167.6151459,
433,167.6693927,
434,167.6806478,
435,167.6830559,
436,167.6567289,
437,167.6944624,
438,167.6516132,
439,167.5817451,
440,167.5613995,
441,167.6385467,
