Frame,Luminance value,base line
1,166.9924183,base line
2,166.9920437,base line
3,166.9917756,base line
4,166.9919572,base line
5,166.9919409,base line
6,166.991991,base line
7,166.992189,base line
8,166.9920076,base line
9,166.9917778,base line
10,166.9918179,base line
11,166.9915957,base line
12,166.9917349,base line
13,166.9914308,base line
14,166.9918761,base line
15,166.9916726,base line
16,166.9918471,base line
17,166.9915143,base line
18,166.9918457,base line
19,166.9916326,base line
20,166.9916271,base line
21,166.991568,base line
22,166.9914877,base line
23,166.9915674,base line
24,166.9916664,base line
25,166.9914672,base line
26,166.9918081,base line
27,166.9920847,base line
28,166.9917115,base line
29,166.9916285,base line
30,166.9906987,base line
31,166.9914881,base line
32,166.9916942,base line
33,166.9913056,base line
34,166.9915064,base line
35,166.9918449,base line
36,166.9917402,base line
37,166.9917343,base line
38,166.9915815,base line
39,166.9917075,base line
40,166.9917649,base line
41,166.9918666,base line
42,166.9915326,base line
43,166.9920904,base line
44,166.9920792,base line
45,166.9920665,base line
46,166.9920359,base line
47,166.9922015,base line
48,166.9920768,base line
49,166.9919491,base line
50,166.9917906,base line
51,166.9921308,base line
52,166.9921112,base line
53,166.9922165,base line
54,166.9916797,base line
55,166.9924129,base line
56,166.9926049,base line
57,166.992351,base line
58,166.9920095,base line
59,166.9909082,base line
60,166.9910307,base line
61,166.9918713,base line
62,166.9916181,base line
63,166.9913708,base line
64,166.9916905,base line
65,166.9917674,base line
66,166.9917575,base line
67,166.991481,base line
68,166.9914515,base line
69,166.9918853,base line
70,166.9918932,base line
71,166.9916883,base line
72,166.9921332,base line
73,166.9920747,base line
74,166.9919634,base line
75,166.9920782,base line
76,166.9920385,base line
77,166.9921115,base line
78,166.9923122,base line
79,166.9922436,base line
80,166.9926556,base line
81,166.9928091,base line
82,166.9925888,base line
83,166.9920559,base line
84,166.9925694,base line
85,166.9920587,base line
86,166.9925002,base line
87,166.9920512,base line
88,166.9905297,base line
89,166.991604,base line
90,166.9912034,base line
91,166.9914469,base line
92,166.9912833,base line
93,166.9912082,base line
94,166.9907224,base line
95,166.991897,base line
96,166.9913436,base line
97,166.9917782,base line
98,166.9920913,base line
99,166.991798,base line
100,166.9913962,base line
101,166.9918803,base line
102,166.9923587,base line
103,166.9915094,base line
104,166.9918546,base line
105,166.9916325,base line
106,166.9912152,base line
107,166.9913422,base line
108,166.9918247,base line
109,166.9917079,base line
110,167.6267,
111,167.7071475,
112,167.8024125,
113,167.8850551,
114,167.8430341,
115,168.0165282,
116,168.0196353,
117,168.0308758,
118,168.0023916,
119,168.1005714,
120,168.0270065,
121,168.0320864,
122,167.9285012,
123,168.0449305,
124,167.9682634,
125,167.812406,
126,167.7839386,
127,167.8492784,
128,167.6930658,
129,167.6837639,
130,167.6615332,
131,167.7009916,
132,167.7953845,
133,168.0326504,
134,168.2231295,
135,168.390611,
136,168.3910136,
137,168.3912058,
138,168.3618612,
139,168.3435327,
140,168.4823923,
141,168.4823923,
142,168.503608,
143,168.4512377,
144,168.6506292,
145,168.6999553,
146,168.6910224,
147,168.5761348,
148,168.7373336,
149,168.7183841,
150,168.5230709,
151,168.4866706,
152,168.5303006,
153,168.3950159,
154,168.2546734,
155,168.1506538,
156,168.169004,
157,168.134541,
158,167.996948,
159,168.0522846,
160,168.2690252,
161,168.2690252,
162,168.2911725,
163,168.326069,
164,168.4934503,
165,168.6381144,
166,168.6381144,
167,168.5975282,
168,168.5584537,
169,168.6966085,
170,168.7313856,
171,168.7313856,
172,168.6758688,
173,168.7252281,
174,168.6338049,
175,168.5663955,
176,168.5322431,
177,168.6483129,
178,168.5915794,
179,168.4015169,
180,168.1678126,
181,168.2331762,
182,168.1778944,
183,168.0167388,
184,167.9250526,
185,167.9931585,
186,168.0026734,
187,167.9463621,
188,167.8337733,
189,167.8764188,
190,167.777397,
191,167.7809579,
192,167.7065182,
193,167.7583881,
194,167.7067013,
195,167.6667908,
196,167.6309401,
197,167.2108542,
198,167.2637964,
199,167.3431587,
200,167.4899084,
201,167.4765468,
202,167.6570357,
203,167.8088409,
204,167.880678,
205,167.8381745,
206,167.8991086,
207,167.9119268,
208,167.6984537,
209,167.4602337,
210,167.3295583,
211,167.3297746,
212,167.2889272,
213,167.2526406,
214,167.2691101,
215,167.2397644,
216,167.2447531,
217,167.2896088,
218,167.5206318,
219,167.6082007,
220,167.6450358,
221,167.6179982,
222,167.7574168,
223,167.7233561,
224,167.7541139,
225,167.6585152,
226,167.6179115,
227,167.7054977,
228,167.8710753,
229,168.0557425,
230,168.2063315,
231,168.3425855,
232,168.4240617,
233,168.4580008,
234,168.3355386,
235,168.2791835,
236,168.2727564,
237,168.2164375,
238,168.0459123,
239,168.0975953,
240,168.0914824,
241,168.0892683,
242,168.0966131,
243,168.3539494,
244,168.4906145,
245,168.5894859,
246,168.5413766,
247,168.6411006,
248,168.5899401,
249,168.4751438,
250,168.3113597,
251,168.3410571,
252,168.326533,
253,168.2044434,
254,168.0574548,
255,167.9074206,
256,167.9393283,
257,167.9612469,
258,167.9418768,
259,167.9205754,
260,168.015615,
261,168.0118489,
262,168.0036894,
263,167.9395088,
264,167.8648557,
265,167.7549112,
266,167.7495165,
267,167.6224273,
268,167.5020956,
269,167.2751849,
270,167.1118544,
271,167.1055611,
272,167.0845896,
273,166.9843746,
274,166.9811983,
275,166.9821369,
276,167.0324573,
277,167.0708738,
278,167.0608397,
279,167.0298091,
280,167.1221487,
281,167.131621,
282,167.1314714,
283,167.0338424,
284,166.9076559,
285,167.0251801,
286,167.0304298,
287,167.0427849,
288,167.0877903,
289,167.2919102,
290,167.3650654,
291,167.3582365,
292,167.3172577,
293,167.3684973,
294,167.2582564,
295,167.2059533,
296,167.1964364,
297,167.3145973,
298,167.2881679,
299,167.248776,
300,167.2074317,
301,167.2990124,
302,167.3586364,
303,167.5426059,
304,167.5924624,
305,167.725128,
306,167.7203769,
307,167.7628618,
308,167.7467599,
309,167.8683915,
310,167.8810005,
311,167.8773076,
312,167.7988506,
313,167.584841,
314,167.6575376,
315,167.6276546,
316,167.6245027,
317,167.6079143,
318,167.6641777,
319,167.6349765,
320,167.6623035,
321,167.6500237,
322,167.7321402,
323,167.6451881,
324,167.5611007,
325,167.3663929,
326,167.3937186,
327,167.3470021,
328,167.2540314,
329,167.2045013,
330,167.3427289,
331,167.3439359,
332,167.3879882,
333,167.3611836,
334,167.4423442,
335,167.5928141,
336,167.5971491,
337,167.6141369,
338,167.7058582,
339,167.7250488,
340,167.6844746,
341,167.6643765,
342,167.5072249,
343,167.5640464,
344,167.4839236,
345,167.466521,
346,167.4672936,
347,167.486585,
348,167.400205,
349,167.4146767,
350,167.4699537,
351,167.4906564,
352,167.5404058,
353,167.5437222,
354,167.4191001,
355,167.3744002,
356,167.3744002,
357,167.3613582,
358,167.2674484,
359,167.2500223,
360,167.3302739,
361,167.3302739,
362,167.3342475,
363,167.4187289,
364,167.555266,
365,167.6840306,
366,167.6745096,
367,167.8282057,
368,167.900315,
369,167.9307945,
370,167.8666975,
371,167.7746655,
372,167.7997291,
373,167.7294464,
374,167.6500364,
375,167.4766104,
376,167.4966821,
377,167.4268404,
378,167.2579922,
379,167.0633573,
380,167.0739449,
381,167.0739449,
382,167.0795974,
383,167.0219287,
384,166.970522,
385,166.9259085,
386,166.9259085,
387,166.8921564,
388,167.0701312,
389,167.2495564,
390,167.3219043,
391,167.3037089,
392,167.3753543,
393,167.4578949,
394,167.6286291,
395,167.7653009,
396,167.8389152,
397,167.9271552,
398,168.0201798,
399,167.9710178,
400,167.797606,
401,167.804289,
402,167.8362821,
403,167.885357,
404,167.8980243,
405,167.9604831,
406,167.9604831,
407,167.9958323,
408,168.0392273,
409,168.145996,
410,168.0325176,
411,168.031965,
412,167.9490739,
413,167.9080941,
414,167.7905253,
415,167.6824688,
416,167.6596182,
417,167.6876333,
418,167.70292,
419,167.663455,
420,167.5399083,
421,167.5665438,
422,167.5802872,
423,167.5452374,
424,167.4072197,
425,167.5285406,
426,167.5352047,
427,167.5798918,
428,167.5672211,
429,167.5469624,
430,167.6109705,
431,167.6034227,
432,167.6137698,
433,167.6151459,
434,167.6693927,
435,167.6806478,
436,167.6830559,
437,167.6567289,
438,167.6944624,
439,167.6516132,
440,167.5817451,
441,167.5613995,
442,167.6385467,
443,167.4807545,
444,167.3741396,
445,167.2579032,
446,167.2845931,
447,167.2443751,
448,167.1364137,
449,167.0679287,
450,167.2152312,
451,167.2200302,
452,167.2564119,
453,167.2647157,
454,167.4167144,
455,167.5006611,
456,167.5013603,
457,167.4987582,
458,167.5532258,
459,167.6280128,
460,167.6500646,
461,167.639747,
462,167.6153327,
463,167.6865244,
464,167.6626225,
465,167.5672751,
466,167.539216,
467,167.579141,
468,167.5531319,
469,167.5087143,
470,167.3973571,
471,167.3641797,
472,166.9923285,base line
473,166.9920821,base line
474,166.9918749,base line
475,166.9921506,base line
476,166.992131,base line
477,166.9921955,base line
478,166.9924442,base line
479,166.9922747,base line
480,166.9920302,base line
481,166.9919959,base line
