Second,Luminance value,base line
0,166.9917461,base line
1,166.9918504,base line
2,166.9919352,
3,167.330055,
4,168.2201436,
5,168.4451062,
6,167.7433739,
7,167.807332,
8,168.0543432,
9,167.1421784,
10,167.5911377,
11,167.4777176,
12,167.3934644,
13,167.8086639,
14,167.5059783,
15,167.3510903,base line
16,166.9918659,base line
17,166.9919814,base line
18,166.9920838,
19,161.5516084,
20,161.2178024,
21,158.0350322,
22,158.5041516,
23,163.6098349,
24,165.6443422,
25,169.2489308,
26,171.1667034,
27,172.38151,
28,173.952117,
29,178.269425,
30,176.0062785,
31,179.5146363,
32,177.8357445,
33,175.812142,
34,155.495092,base line
35,166.9918465,base line
36,166.9919184,base line
37,166.9917727, 
38,166.2073414,
39,165.2372186,
40,165.7713313,
41,165.9067936,
42,164.7968757,
43,164.9740996,
44,166.1096886,
45,171.6947925,
46,168.0733322,base line
47,166.9918037,base line
48,166.9921125,
49,170.2238911,
50,179.8436229,
51,179.9747137,
52,166.9487493,
53,163.0460009,
54,164.688197,
55,163.5650135,
56,164.7858989,
57,171.6899774,
58,168.4530986,
59,168.2884832,
60,171.0351698,
61,163.6552744,
62,164.9409901,
63,164.0970693,base line
64,166.9918712,base line
65,166.9919413,base line
66,166.9925329,
67,160.3657684,
68,158.5039972,
69,157.681525,
70,157.9402923,
71,164.7635083,
72,162.7685038,
73,156.045362,
74,173.5073651,
75,186.4421368,
76,177.930986,
77,172.367071,
78,171.626721,
79,170.1657525,base line
80,166.9918681,base line
81,166.9919798,base line
82,166.9920812,
83,161.6195275,
84,158.4298911,
85,158.5902871,
86,164.90012,
87,166.6200218,
88,169.0509492,
89,172.029383,
90,172.6264955,
91,172.5097596,
92,172.6971439,base line
93,166.9918974,base line
94,166.991971,base line
95,166.991969,
96,167.4143207,
97,168.8897459,
98,170.2186058,
99,170.7863057,
100,169.556734,
101,168.0407675,
102,166.5663452,
103,168.5170151,
104,168.997694,base line
105,166.9917436,base line
106,166.9919457,
107,167.1538918,
108,169.5989299,
109,169.6735567,
110,169.7321651,
111,169.6871331,
112,169.6297904,
113,169.68261,
114,169.7386536,
115,168.6693395,
116,167.6906335,
117,167.3360722,base line
118,166.991621,base line
119,166.9914937,base line
120,166.9917089,
121,168.4091668,
122,167.9530648,
123,167.041802,
124,167.342502,
125,169.138191,
126,169.9523896,
127,168.1771843,
128,167.8397158,
129,167.5479368,
130,167.3073778,
131,167.1547634,
132,165.880103,
133,166.7619438,base line
134,166.9917022,base line
135,166.9916837,base line
136,167.0676186,
137,168.8000688,
138,166.9346481,
139,170.6639629,
140,174.5509596,
141,179.7004745,
142,184.9843939,
143,177.7810612,
144,169.0154299,
145,174.0847856,
146,141.1002604,
147,127.0457496,
148,136.7255496,
149,178.7295169,
